problem,form,status,spc,domain
Problems/CSR/CSR049+4.p,FOF,THM,FOF_THM_RFO_SEQ,CSR
Problems/CSR/CSR054+5.p,FOF,THM,FOF_THM_RFO_SEQ,CSR
Problems/CSR/CSR055-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,CSR
Problems/CSR/CSR060+1.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR066+1.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR067+1.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR074+2.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR086+5.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR088+2.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR088+7.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR099+6.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR102+1.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR102+5.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR106+2.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR107+3.p,FOF,CAX,FOF_CAX_RFO_SEQ,CSR
Problems/CSR/CSR113+17.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR115+33.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR115+75.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR115+81.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR115+98.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR177+1.p,FOF,THM,FOF_THM_RFO_SEQ,CSR
Problems/CSR/CSR268+1.p,FOF,THM,FOF_THM_RFO_SEQ,CSR
Problems/FLD/FLD017-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,FLD
Problems/FLD/FLD034-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,FLD
Problems/FLD/FLD067-3.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,FLD
Problems/GEO/GEO011-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GEO
Problems/GEO/GEO015-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GEO
Problems/GEO/GEO081+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO085-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GEO
Problems/GEO/GEO086-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GEO
Problems/GEO/GEO097+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO139-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GEO
Problems/GEO/GEO170+3.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO173+1.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO180+1.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO187+2.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO188+3.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO227+3.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO232+1.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO245+1.p,FOF,THM,FOF_THM_RFO_NEQ,GEO
Problems/GEO/GEO311+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO468+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO475+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO490+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO524+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO531+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO547+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO560+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO587+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GEO/GEO641+1.p,FOF,THM,FOF_THM_RFO_SEQ,GEO
Problems/GRA/GRA144-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GRA
Problems/GRA/GRA164-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GRA
Problems/GRA/GRA170-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,GRA
Problems/GRP/GRP014-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP043-2.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,GRP
Problems/GRP/GRP124-2.004.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,GRP
Problems/GRP/GRP126-3.004.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,GRP
Problems/GRP/GRP130-3.003.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,GRP
Problems/GRP/GRP133-1.003.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,GRP
Problems/GRP/GRP137-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP142-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP157-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP184-4.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP338-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,GRP
Problems/GRP/GRP355-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,GRP
Problems/GRP/GRP369-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,GRP
Problems/GRP/GRP387-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,GRP
Problems/GRP/GRP489-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP527-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP529-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP552-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP622+1.p,FOF,THM,FOF_THM_RFO_SEQ,GRP
Problems/GRP/GRP631+4.p,FOF,THM,FOF_THM_RFO_SEQ,GRP
Problems/GRP/GRP634+2.p,FOF,THM,FOF_THM_RFO_SEQ,GRP
Problems/GRP/GRP640+3.p,FOF,THM,FOF_THM_RFO_SEQ,GRP
Problems/GRP/GRP649+2.p,FOF,THM,FOF_THM_RFO_SEQ,GRP
Problems/GRP/GRP655-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP658-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP707-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/GRP/GRP727-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,GRP
Problems/HWV/HWV009-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,HWV
Problems/HWV/HWV044-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,HWV
Problems/HWV/HWV046-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,HWV
Problems/HWV/HWV056-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,HWV
Problems/HWV/HWV116-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,HWV
Problems/HWV/HWV131+1.p,FOF,THM,FOF_THM_RFO_SEQ,HWV
Problems/ITP/ITP016+2.p,FOF,THM,FOF_THM_RFO_SEQ,ITP
Problems/KLE/KLE010+4.p,FOF,THM,FOF_THM_RFO_SEQ,KLE
Problems/KLE/KLE019+1.p,FOF,THM,FOF_THM_RFO_SEQ,KLE
Problems/KLE/KLE032+1.p,FOF,THM,FOF_THM_RFO_SEQ,KLE
Problems/KLE/KLE070+1.p,FOF,THM,FOF_THM_RFO_SEQ,KLE
Problems/KLE/KLE105+1.p,FOF,THM,FOF_THM_RFO_SEQ,KLE
Problems/KRS/KRS122+1.p,FOF,UNS,FOF_UNS_RFO_SEQ,KRS
Problems/KRS/KRS138+1.p,FOF,THM,FOF_THM_RFO_SEQ,KRS
Problems/KRS/KRS170+1.p,FOF,THM,FOF_THM_RFO_NEQ,KRS
Problems/LAT/LAT036-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,LAT
Problems/LAT/LAT139-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LAT
Problems/LAT/LAT142-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LAT
Problems/LAT/LAT148-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LAT
Problems/LAT/LAT157-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LAT
Problems/LAT/LAT232-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,LAT
Problems/LAT/LAT293+3.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT299+4.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT308+2.p,FOF,CAX,FOF_CAX_RFO_SEQ,LAT
Problems/LAT/LAT311+1.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT318+3.p,FOF,CAX,FOF_CAX_RFO_SEQ,LAT
Problems/LAT/LAT323+3.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT344+3.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT354+3.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT356+4.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT374+2.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT378+4.p,FOF,THM,FOF_THM_RFO_SEQ,LAT
Problems/LAT/LAT391-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LAT
Problems/LCL/LCL025-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,LCL
Problems/LCL/LCL148-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL208-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL224-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,LCL
Problems/LCL/LCL242-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL245-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL257-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,LCL
Problems/LCL/LCL326-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL330-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LCL
Problems/LCL/LCL351-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,LCL
Problems/LCL/LCL372-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,LCL
Problems/LCL/LCL400-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,LCL
Problems/LCL/LCL419+2.p,FOF,THM,FOF_THM_RFO_NEQ,LCL
Problems/LCL/LCL420+2.p,FOF,THM,FOF_THM_RFO_NEQ,LCL
Problems/LCL/LCL428-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_HRN,LCL
Problems/LCL/LCL478+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL531+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL536+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL543+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL561+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL562+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/LCL/LCL674+1.005.p,FOF,THM,FOF_THM_RFO_NEQ,LCL
Problems/LCL/LCL678+1.015.p,FOF,THM,FOF_THM_RFO_NEQ,LCL
Problems/LCL/LCL892+1.p,FOF,THM,FOF_THM_RFO_SEQ,LCL
Problems/MGT/MGT006+1.p,FOF,THM,FOF_THM_RFO_NEQ,MGT
Problems/MGT/MGT014-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,MGT
Problems/MGT/MGT024+1.p,FOF,THM,FOF_THM_RFO_SEQ,MGT
Problems/MGT/MGT058-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,MGT
Problems/MGT/MGT093+1.p,FOF,THM,FOF_THM_RFO_SEQ,MGT
Problems/MVA/MVA004-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,MVA
Problems/NLP/NLP094-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,NLP
Problems/NLP/NLP257-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,NLP
Problems/NUM/NUM012-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,NUM
Problems/NUM/NUM155-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,NUM
Problems/NUM/NUM297+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM303+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM316+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM375+1.015.p,FOF,UNS,FOF_UNS_RFO_PEQ,NUM
Problems/NUM/NUM381+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM464+2.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM481+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM506+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM508+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM526+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM579+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM582+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM590+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM596+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM615+3.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM684+4.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM753+4.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM766+4.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM837+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM839+2.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM841+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM849+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/NUM/NUM923+1.p,FOF,THM,FOF_THM_RFO_SEQ,NUM
Problems/PLA/PLA031-1.017.p,CNF,UNS,CNF_UNS_EPR_NEQ_HRN,PLA
Problems/PLA/PLA042-1.p,CNF,UNS,CNF_UNS_EPR_SEQ_NHN,PLA
Problems/PRO/PRO005+2.p,FOF,THM,FOF_THM_RFO_SEQ,PRO
Problems/PRO/PRO008+3.p,FOF,THM,FOF_THM_RFO_SEQ,PRO
Problems/PUZ/PUZ007-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,PUZ
Problems/PUZ/PUZ028-6.p,CNF,UNS,CNF_UNS_EPR_NEQ_NHN,PUZ
Problems/REL/REL008+2.p,FOF,THM,FOF_THM_RFO_PEQ,REL
Problems/REL/REL033-3.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,REL
Problems/REL/REL037-2.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,REL
Problems/RNG/RNG007-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,RNG
Problems/RNG/RNG013-6.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,RNG
Problems/RNG/RNG068+2.p,FOF,THM,FOF_THM_RFO_SEQ,RNG
Problems/RNG/RNG080+1.p,FOF,THM,FOF_THM_RFO_SEQ,RNG
Problems/RNG/RNG111+1.p,FOF,THM,FOF_THM_RFO_SEQ,RNG
Problems/RNG/RNG113+4.p,FOF,THM,FOF_THM_RFO_SEQ,RNG
Problems/SCT/SCT025-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SCT
Problems/SCT/SCT041-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SCT
Problems/SCT/SCT112+1.p,FOF,THM,FOF_THM_RFO_SEQ,SCT
Problems/SCT/SCT114+1.p,FOF,CAX,FOF_CAX_RFO_SEQ,SCT
Problems/SCT/SCT145+1.p,FOF,THM,FOF_THM_RFO_SEQ,SCT
Problems/SET/SET006-1.p,CNF,UNS,CNF_UNS_RFO_NEQ_NHN,SET
Problems/SET/SET025-9.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET044+1.p,FOF,THM,FOF_THM_RFO_NEQ,SET
Problems/SET/SET050-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET057-7.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET063+4.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET070-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET076-7.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET078-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET081-7.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET090-7.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET097-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET105+1.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET185+3.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET186-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET190-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET217-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET234-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET296-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET362-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET509-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET562-6.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET608+3.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET644+3.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET672+3.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SET/SET828-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET834-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,SET
Problems/SET/SET904+1.p,FOF,THM,FOF_THM_RFO_SEQ,SET
Problems/SEU/SEU123+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU127+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU146+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU154+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU168+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU170+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU181+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU184+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU189+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU190+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU215+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU215+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU216+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU225+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU231+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU284+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU288+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU293+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU297+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU303+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU303+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU354+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU360+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU390+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU392+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU406+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU408+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU415+4.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU416+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU424+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU425+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU429+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU435+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU438+3.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU438+4.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU449+2.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEU/SEU451+4.p,FOF,THM,FOF_THM_RFO_SEQ,SEU
Problems/SEV/SEV578+1.p,FOF,THM,FOF_THM_RFO_SEQ,SEV
Problems/SWB/SWB008+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB012+2.p,FOF,THM,FOF_THM_RFO_NEQ,SWB
Problems/SWB/SWB015+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB021+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB022+2.p,FOF,THM,FOF_THM_RFO_NEQ,SWB
Problems/SWB/SWB024+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB030+1.p,FOF,UNS,FOF_UNS_RFO_SEQ,SWB
Problems/SWB/SWB039+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB048+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB054+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
Problems/SWB/SWB088+1.p,FOF,THM,FOF_THM_RFO_SEQ,SWB
